strain,date,url,mutational_fitness,S1_mutations,country,recency,pango_lineage,emerging_lineage,region,clade_membership,genbank_accession,current_frequency,division,epiweek,host,author,accession,submitting_lab,originating_lab,logistic_growth
AUS/NT10/2020,3/27/20,,0.02,2,Australia,Older,B.1.110,,Oceania,20A,MT641655,,Northern Territory,202013,Homo sapiens,Caly et al R,,The Peter Doherty Institute for Infection and Immunity,Royal Darwin Hospital Pathology,
CHL/Santiago-PUC_MVL_0011/2020,3/19/20,,0.01,1,Chile,Older,B.1.110.1,,South America,20A,MW365225,,Chile,202012,Homo sapiens,Direct Submission et al AI,,,,
CHL/Santiago-PUC_MVL_0039/2020,3/28/20,,0.04,1,Chile,Older,B.1.110,,South America,20A,MW365174,,Chile,202013,Homo sapiens,Direct Submission et al AJ,,,,
CHL/Santiago-PUC_MVL_0106/2020,4/2/20,,0.04,1,Chile,Older,B.1.110,,South America,20A,MW364994,,Chile,202014,Homo sapiens,Direct Submission et al AK,,,,
CHL/Santiago-PUC_MVL_0151/2020,4/5/20,,0.04,1,Chile,Older,B.1.110,,South America,20A,MW365002,,Chile,202014,Homo sapiens,Direct Submission et al AL,,,,
CHL/Santiago-PUC_MVL_0066/2020,3/26/20,,0.04,1,Chile,Older,B.1.110,,South America,20A,MW365162,,Chile,202013,Homo sapiens,Direct Submission et al AM,,,,
CHL/Santiago-PUC_MVL_0094/2020,4/1/20,,0.04,1,Chile,Older,B.1.110,,South America,20A,MW365127,,Chile,202014,Homo sapiens,Direct Submission et al AN,,,,
CHL/Santiago-PUC_MVL_0108/2020,4/2/20,,0.04,1,Chile,Older,B.1.110,,South America,20A,MW365135,,Chile,202014,Homo sapiens,Direct Submission et al AO,,,,
CHL/Santiago-PUC_MVL_0107/2020,4/2/20,,0.04,1,Chile,Older,B.1.110,,South America,20A,MW365006,,Chile,202014,Homo sapiens,Direct Submission et al AP,,,,
CHL/Santiago-PUC_MVL_0040/2020,3/29/20,,0.01,1,Chile,Older,B.1.110,,South America,20A,MW365169,,Chile,202013,Homo sapiens,Direct Submission et al AQ,,,,
CHL/Santiago-PUC_MVL_0083/2020,3/31/20,,0.01,1,Chile,Older,B.1.110,,South America,20A,MW365138,,Chile,202014,Homo sapiens,Direct Submission et al AR,,,,
CHL/Santiago-PUC_MVL_0084/2020,3/31/20,,0.01,1,Chile,Older,B.1.110,,South America,20A,MW365136,,Chile,202014,Homo sapiens,Direct Submission et al AS,,,,
CHL/Santiago-PUC_MVL_0224/2020,4/28/20,,0.01,1,Chile,Older,B.1.110,,South America,20A,MW365115,,Chile,202018,Homo sapiens,Direct Submission et al AT,,,,
CHL/Santiago-CCP2183/2020,5/1/20,,0.01,1,Chile,Older,B.1.110,,South America,20A,MW365245,,Chile,202018,Homo sapiens,Direct Submission et al AU,,,,
CHL/Santiago-PUC_MVL_0232/2020,4/3/20,,0.01,1,Chile,Older,B.1.110,,South America,20A,MW365103,,Chile,202014,Homo sapiens,Direct Submission et al AV,,,,
CHL/Santiago-PUC_MVL_0365/2020,5/12/20,,0.02,1,Chile,Older,B.1.110,,South America,20A,MW365479,,Chile,202020,Homo sapiens,Direct Submission et al AW,,,,
CHL/Santiago-5122671/2020,6/9/20,,0.01,1,Chile,Older,B.1.110,,South America,20A,MW672171,,Chile,202024,Homo sapiens,Barriga et al C,,,,
CHL/Santiago-5092643/2020,6/9/20,,0.01,1,Chile,Older,B.1.110,,South America,20A,MW672165,,Chile,202024,Homo sapiens,Barriga et al D,,,,
Guatemala/UN-CDC-3536653-001/2020,3/16/20,,0.01,1,Guatemala,Older,B.1,,North America,20A,MT844029,,Guatemala,202012,Homo sapiens,Zhang et al,,,,
USA/IL-RUSH-COVID-0315/2020,5/6/20,,0.01,1,USA,Older,B.1,,North America,20A,MZ363516,,Illinois,202019,Homo sapiens,Forberg et al,,,,
IND/GBRC214a/2020,6/12/20,,0.01,2,India,Older,B.1.113,,Asia,20A,MT664727,,Gujarat,202024,Homo sapiens,Gamit et al,,Gujarat Biotechnology Research Centre,"Department of MicroBiology, Government Medical College, Surat",
Netherlands/Gelderland_102/2020,5/22/20,,0.08,2,Netherlands,Older,B.1.22,,Europe,20A,LR883080,,Netherlands,202021,Homo sapiens,Oude Munnink et al B,,"ERASMUS MC, UNIVERISTY MEDICAL CENTER",,
AUS/TAS57/2020,3/20/20,,-0.03,1,Australia,Older,B.1.13,,Oceania,20A,MT973393,,Tasmania,202012,Homo sapiens,Sait et al L,,The Peter Doherty Institute for Infection and Immunity,Royal Hobart Hospital Microbiology Department,
USA/NC-CDC-03068798-001/2020,3/8/20,,0.01,1,USA,Older,B.1,,North America,20A,MT325590,,North Carolina,202010,Homo sapiens,Li et al D,,,,
MLT/Sliema_5/2020,8/21/20,,0.05,1,Malta,Older,B.1.389,,Europe,20A,MW079422,,Malta,202034,Homo sapiens,Biazzo et al,,,,
FRA/IHUCOVID-010856_Illu1/2020,4/18/20,,0.02,1,France,One month ago,B.1,,Europe,20A,ON286449,,France,202016,Homo sapiens,Levasseur et al C,,,,
PAK/SARS-CoV-2_117/2020,4/24/20,,0,1,Pakistan,Older,B.1,,Asia,20A,MW422098,,Islamabad Capital Territory,202017,Homo sapiens,Badar et al A,,,,
TUN/COV0425/2020,3/28/20,,0.01,1,Tunisia,Older,B.1,,Africa,20A,MT499219,,Tunisia,202013,Homo sapiens,Fares et al C,,,,
OU453229,6/15/20,,0,1,Germany,Older,B.1.159,,Europe,20A,OU453229,,Lower Saxony,202025,Homo sapiens,? J,,Robert Koch Institute,"LAVES (Lower Saxony State Office for Consumer Protection and Food Safety), PO Box 3949, D-26029 Oldenburg",
BGD/BCSIR_NILMRC_228/2020,7/7/20,,0.02,2,Bangladesh,Older,B.1.159,,Asia,20A,MT755916,,Barishal,202028,Homo sapiens,Goswami et al,,,,
GMB/GC19-029/2020,4/21/20,,0.01,1,Gambia,Older,B.1,,Africa,20A,MZ040130,,Gambia,202017,Homo sapiens,Kanteh et al B,,,,
BHR/340286642_S20_L001/2020,7/6/20,,-0.01,1,Bahrain,Older,B.1.281,,Asia,20A,MW228050,,Bahrain,202028,Homo sapiens,AlWasti et al A,,,,
BHR/340685804/2020,9/15/20,,0,1,Bahrain,Older,B.1.281,,Asia,20A,MW341463,,Bahrain,202038,Homo sapiens,Alwasti et al A,,,,
KEN/SS2884/2020,12/29/20,,0.05,1,Kenya,Older,B.1.480,,Africa,20A,OL548941,,Kenya,202053,Homo sapiens,Githinji et al P,,,,
ETH/S11/2021,1/29/21,,0.04,5,Ethiopia,Older,B.1.480,,Africa,20A,OL840812,,Addis Ababa,202104,Homo sapiens,Bitew et al B,,,,
ETH/S1/2021,2/4/21,,0.18,3,Ethiopia,Older,B.1.480,,Africa,20A,OL840802,,Addis Ababa,202105,Homo sapiens,Bitew et al C,,,,
USA/JDTH/2020,10/4/20,,0.04,1,USA,Older,B.1,,North America,20A,MW861561,,Alabama,202040,Homo sapiens,Grimwood et al B,,,,
PAK/SARS-CoV-2_47/2020,5/31/20,,0.01,1,Pakistan,Older,B.1,,Asia,20A,MW422028,,Islamabad Capital Territory,202022,Homo sapiens,Badar et al B,,,,
ETH/S3/2021,1/27/21,,0.04,1,Ethiopia,Older,B.1,,Africa,20A,OL840804,,Addis Ababa,202104,Homo sapiens,Bitew et al D,,,,
ETH/AH-003/2020,11/11/20,,0.07,3,Ethiopia,Older,B.1,,Africa,20A,MZ172409,,Ethiopia,202046,Homo sapiens,Alemayehu et al,,,,
ETH/39650_S8_L001_1/2020,12/21/20,,0.12,1,Ethiopia,Older,B.1,,Africa,20A,MW703382,,Ethiopia,202052,Homo sapiens,Weldemariam et al A,,,,
DJI/NAMRU3_E108/2020,7/26/20,,0.1,2,Djibouti,Older,B.1,,Africa,20A,OK018273,,Djibouti,202030,Homo sapiens,Arnold et al E,,,,
DJI/NAMRU3_EB1/2020,10/22/20,,0.1,2,Djibouti,Older,B.1,,Africa,20A,OK018288,,Djibouti,202043,Homo sapiens,Arnold et al F,,,,
DJI/NAMRU3_A21/2020,11/17/20,,0.1,2,Djibouti,Older,B.1,,Africa,20A,MZ517144,,Djibouti,202047,Homo sapiens,Arnold et al G,,,,
DJI/NAMRU3_A19/2020,11/17/20,,0.1,2,Djibouti,Older,B.1,,Africa,20A,MZ517143,,Djibouti,202047,Homo sapiens,Arnold et al H,,,,
DJI/NAMRU3_A07/2020,11/17/20,,0.1,2,Djibouti,Older,B.1,,Africa,20A,MZ970731,,Djibouti,202047,Homo sapiens,Arnold et al I,,,,
DJI/NAMRU3_A09/2020,11/17/20,,0.1,2,Djibouti,Older,B.1,,Africa,20A,MZ517139,,Djibouti,202047,Homo sapiens,Arnold et al J,,,,
KEN/C64632/2020,10/15/20,,0.08,1,Kenya,Older,B.1,,Africa,20A,OL454539,,Kenya,202042,Homo sapiens,Githinji et al Q,,,,
ETH/S6/2021,2/2/21,,0.07,1,Ethiopia,Older,B.1,,Africa,20A,OL840807,,Addis Ababa,202105,Homo sapiens,Bitew et al E,,,,
ETH/S12/2021,2/5/21,,0.11,2,Ethiopia,Older,B.1,,Africa,20A,OL840813,,Addis Ababa,202105,Homo sapiens,Bitew et al F,,,,
ETH/S5/2021,1/24/21,,0.11,2,Ethiopia,Older,B.1,,Africa,20A,OL840806,,Addis Ababa,202103,Homo sapiens,Bitew et al G,,,,
ETH/39379_S7_L001_1/2020,12/21/20,,0.08,1,Ethiopia,Older,B.1,,Africa,20A,MW703380,,Ethiopia,202052,Homo sapiens,Weldemariam et al B,,,,
ETH/S15/2021,5/2/21,,0.07,2,Ethiopia,Older,B.1,,Africa,20A,OL840816,,Addis Ababa,202117,Homo sapiens,Bitew et al H,,,,
USA/DW052_F02_5_4/2020,4/2/20,,0,1,USA,Older,B.1,,North America,20A,MZ472108,,Kentucky,202014,Homo sapiens,Rouchka et al B,,,,
NZL/20CV0294/2020,3/27/20,,0.01,1,New Zealand,Older,B.1,,Oceania,20A,OK427000,,Auckland,202013,Homo sapiens,Ren et al Z,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
TUR/KOC-IST-SP3/2020,5/19/20,,0.03,1,Turkey,Older,B.1.9.5,,Europe,20A,MW199143,,Turkey,202021,Homo sapiens,Ozer et al,,,,
TUR/KOC-IST-B288/2020,3/27/20,,0,2,Turkey,Older,B.1.9,,Europe,20A,MW199150,,Turkey,202013,Homo sapiens,Nurtop et al,,,,
TUN/TUN-202061627/2020,11/24/20,,0.01,1,Tunisia,Older,B.1.9,,Africa,20A,MW365359,,Tunisia,202048,Homo sapiens,Boutiba-Ben Boubaker et al H,,,,
PER/covper055/2020,4/2/20,,0.01,2,Peru,Older,B.1,,South America,20A,MW030198,,Peru,202014,Homo sapiens,Juscamayta et al X,,,,
GHA/84279_S42/2020,5/26/20,,0.05,1,Ghana,Older,B.1,,Africa,20A,MT890236,,Ghana,202022,Homo sapiens,Ngoi et al E,,,,
FIN/FIN45-VE6-THL-202121391/2021,6/20/21,,0.58,8,Finland,Older,B.1.621,,Europe,21H (Mu),OM680003,,Finland,202124,Homo sapiens,Laine et al A,,,,
Colombia/CO-ATL-UW21072275714/2021,7/23/21,,0.51,9,Colombia,Older,B.1.621,,South America,21H (Mu),ON080879,,Colombia,202129,Homo sapiens,Roychoudhury et al B,,,,
CHL/AR-UFRO-0227/2021,10/15/21,,0.53,8,Chile,Older,B.1.621,,South America,21H (Mu),OM146270,,Chile,202141,Homo sapiens,Leyton-Carcaman et al A,,,,
Switzerland/FL-Risch-2140810066/2021,4/9/21,,0.55,8,Liechtenstein,Older,B.1.621,,Europe,21H (Mu),OU574397,,Liechtenstein,202114,Homo sapiens,? K,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",
USA/CT-CDC-QDX25497787/2021,6/2/21,,0.52,8,USA,Older,B.1.621,,North America,21H (Mu),OK250652,,Connecticut,202122,Homo sapiens,Howard et al B,,,,
USA/ME-CDC-QDX25848326/2021,6/14/21,,0.56,8,USA,Older,B.1.621.1,,North America,21H (Mu),OK249338,,Maine,202124,Homo sapiens,Howard et al C,,,,
Colombia/CO-DC-UW21071958902/2021,7/20/21,,0.59,9,Colombia,Older,B.1.621,,South America,21H (Mu),ON080876,,Colombia,202129,Homo sapiens,Roychoudhury et al C,,,,
EGY/CPHL-NRC-21/2020,3/14/20,,0.01,1,Egypt,Older,B.1,,Africa,20A,MW451602,,Egypt,202011,Homo sapiens,Kayed et al,,,,
VEN/12MZ/2020,5/23/20,,0.01,1,Venezuela,Older,B.1.111,,South America,20A,MT907520,,Venezuela,202021,Homo sapiens,Loureiro et al C,,,,
VEN/Anz7498/2021,3/13/21,,0.12,3,Venezuela,Older,B.1.111,,South America,20A,MZ611974,,Venezuela,202110,Homo sapiens,Pujol et al B,,,,
USA/NMDOH-2020007244/2020,3/10/20,,0.01,1,USA,Older,B.1,,North America,20A,MW268728,,New Mexico,202011,Homo sapiens,Johnson et al C,,New Mexico Department of Health Scientific Laboratory,New Mexico Department of Health Scientific Laboratory,
NZL/20CV0670/2020,12/10/20,,0.04,1,New Zealand,Older,B.1.170,,Oceania,20A,OK426858,,Auckland,202050,Homo sapiens,Ren et al AA,,Institute of Environmental Science and Research,Middlemore Hospital,
EGY/CUNCI-HGC11I035/2021,1/4/21,,0.03,2,Egypt,Older,B.1.170,,Africa,20A,MW509810,,Egypt,202101,Homo sapiens,Zekri et al E,,,,
NZL/20CV0536/2020,10/17/20,,0.05,1,New Zealand,Older,B.1.438,,Oceania,20A,OK426898,,Auckland,202042,Homo sapiens,Ren et al AB,,Institute of Environmental Science and Research,PathLab Bay of Plenty,
IRQ/Samawa-37/2021,2/21/21,,0.07,2,Iraq,Older,B.1,,Asia,20A,MZ145290,,Iraq,202107,Homo sapiens,Al-Rashedi et al A,,,,
VEN/Zul6567/2021,5/9/21,,0.44,8,Venezuela,Older,B.1.625,,South America,20A,MZ611975,,Venezuela,202118,Homo sapiens,Pujol et al C,,,,
MAR/RMPS02/2020,4/14/20,,0.01,1,Morocco,Older,B.1,,Africa,20A,MT731292,,Morocco,202016,Homo sapiens,Laamarti et al C,,,,
EGY/CUNCI-HGC011/2020,5/3/20,,0.01,1,Egypt,Older,B.1,,Africa,20A,MT511065,,Egypt,202018,Homo sapiens,Zekri et al F,,,,
USA/VT-CDC-2-4044519/2020,6/8/20,,0,1,USA,Older,B.1,,North America,20A,MW550528,,Vermont,202024,Homo sapiens,Queen et al J,,,,
USA/CO-UW-739/2020,6/30/20,,0,1,USA,Older,B.1.112,,North America,20A,MT772510,,Colorado,202027,Homo sapiens,Moreno et al E,,,,
TUN/TUN_ADAGE_O-24776-20/2020,11/9/20,,0.15,3,Tunisia,Older,B.1.160,,Africa,20A,MW452542,,Tunisia,202046,Homo sapiens,Souissi et al B,,,,
Switzerland/BS-UHB-42416103/2020,8/29/20,,0.09,2,Switzerland,Older,B.1.160,,Europe,20A,OU280882,,Basel-Stadt,202035,Homo sapiens,? L,,University Hospital Basel,"Clinical Virology, University Hospital Basel, Switzerland",
Denmark/DCGC-277051/2021,1/19/21,,0.08,2,Denmark,One week ago,B.1.160,,Europe,20A,OW674398,,Hovedstaden,202103,Homo sapiens,Danish Covid-19 Genome et al,,statens serum institut and the danish covid19 genome consortium (dcgc),"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",
Switzerland/BL-UHB-42425610/2020,9/5/20,,0.07,2,Switzerland,Older,B.1.160,,Europe,20A,OU281123,,Basel-Land,202036,Homo sapiens,? M,,University Hospital Basel,"Clinical Virology, University Hospital Basel, Switzerland",
NOR/Bergen-02/2020,9/26/20,,0.07,2,Norway,Older,B.1.160,,Europe,20A,OM616037,,Vestland,202039,Homo sapiens,Zhou et al B,,,,
SRB/BP73365-27-11/2020,11/28/20,,0.07,2,Serbia,Older,B.1.160,,Europe,20A,MW548718,,South Bačka District,202048,Homo sapiens,Vidanovic et al A,,,,
Switzerland/TG-ETHZ-500699/2021,2/14/21,,0.14,2,Switzerland,Older,B.1.160.31,,Europe,20A,OU007481,,Thurgau,202106,Homo sapiens,? N,,ETH ZURICH D-BSSE,"Computational evolution group,Mattenstrasse 26, Basel",
FRA/IHUCOVID-001776/2020,9/20/20,,0.14,2,France,One month ago,B.1.160,,Europe,20A,ON275082,,France,202038,Homo sapiens,Levasseur et al D,,,,
TUN/TUN-202055308/2020,11/3/20,,0.1,2,Tunisia,Older,B.1.160,,Africa,20A,MW302336,,Tunisia,202045,Homo sapiens,Boutiba-Ben Boubaker et al I,,,,
FRA/IHUCOVID-044597_Nova1/2021,1/22/21,,0.1,2,France,One month ago,B.1.160,,Europe,20A,ON290952,,France,202103,Homo sapiens,Levasseur et al E,,,,
FRA/IHUCOVID-044649_Nova1/2021,2/5/21,,0.15,2,France,One month ago,B.1.160,,Europe,20A,ON290017,,France,202105,Homo sapiens,Levasseur et al F,,,,
CAN/HCW43/2020,12/5/20,,0.08,2,Canada,Older,B.1.160,,North America,20A,OM540759,,Canada,202049,Homo sapiens,Benoit et al A,,,,
FRA/IHUCOVID-051035_Nova1/2020,12/10/20,,0.11,3,France,One month ago,B.1.160,,Europe,20A,ON273403,,France,202050,Homo sapiens,Levasseur et al G,,,,
PAK/JRCGR_SCV-98_QTA-02/2021,2/2/21,,-0.03,3,Pakistan,Older,B.1,,Asia,20A,MZ328044,,Pakistan,202105,Homo sapiens,Irfan et al A,,,,
PAK/AKUs56/2020,10/10/20,,0,1,Pakistan,Older,B.1.471,,Asia,20A,MW433723,,Pakistan,202041,Homo sapiens,Ghanchi et al A,,,,
NZL/20CV0607/2020,11/26/20,,0.05,2,New Zealand,Older,B.1.471,,Oceania,20A,OK426455,,Canterbury,202048,Homo sapiens,Ren et al AC,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
NZL/20CV0604/2020,11/26/20,,0.05,2,New Zealand,Older,B.1.471,,Oceania,20A,OK426547,,Canterbury,202048,Homo sapiens,Ren et al AD,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
FIN/SR121-VE6-H10/2020,10/10/20,,0.04,3,Finland,Older,B.1.463,,Europe,20A,MW717676,,Finland,202041,Homo sapiens,Smura et al C,,,,
EGY/EGY-ARMY-MCL012/2020,11/20/20,,0.17,1,Egypt,Older,B.1,,Africa,20A,MW547420,,Egypt,202047,Homo sapiens,Seadawy et al E,,,,
EGY/Third-Wave-EGY-ARMY57/2021,4/19/21,,0.17,1,Egypt,Older,B.1,,Africa,20A,MZ043020,,Egypt,202116,Homo sapiens,Seadawy et al F,,,,
EGY/PHARCO-ARMY001/2021,2/10/21,,0.17,1,Egypt,Older,B.1,,Africa,20A,MW820211,,Egypt,202106,Homo sapiens,Helmy et al A,,,,
EGY/CPHL-NRC-10/2020,4/13/20,,0.02,1,Egypt,Older,B.1,,Africa,20A,MW451245,,Egypt,202016,Homo sapiens,Roshdy et al C,,,,
OU999668,4/4/20,,0.01,1,Saudi Arabia,Older,B.1,,Asia,20A,OU999668,,Makkah,202014,Homo sapiens,Naeem et al A,,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology (KAUST),
OV090862,7/19/20,,0.01,1,Saudi Arabia,Older,B.1,,Asia,20A,OV090862,,Riyadh,202029,Homo sapiens,Naeem et al B,,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology (KAUST),
IDN/RSDS-RCVTD-UNAIR-33-B/2020,6/25/20,,0.01,1,Indonesia,Older,B.1,,Asia,20A,MZ570402,,Indonesia,202026,Homo sapiens,Rantam et al B,,,,
OV027566,4/1/20,,0.01,1,Saudi Arabia,Older,B.1,,Asia,20A,OV027566,,Madinah,202014,Homo sapiens,Naeem et al C,,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology (KAUST),
OU999643,5/25/20,,0.01,1,Saudi Arabia,Older,B.1,,Asia,20A,OU999643,,Jeddah,202022,Homo sapiens,Naeem et al D,,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology (KAUST),
NZL/20CV0493/2020,10/28/20,,0.04,1,New Zealand,Older,B.1.523,,Oceania,20A,OK426517,,Auckland,202044,Homo sapiens,Ren et al AE,,Institute of Environmental Science and Research,LabPLUS,
SAU/596/2020,2/19/20,,0.01,1,Saudi Arabia,Older,B.1.468,,Asia,20A,MT755893,,Saudi Arabia,202008,Homo sapiens,Alosaimi et al,,,,
MYS/IIUM91/2020,4/3/20,,0.02,1,Malaysia,Older,B.1.468,,Asia,20A,MW079428,,Pahang,202014,Homo sapiens,Ahmad et al A,,,,
FRA/IHUCOVID-014865-Nova1M/2020,7/22/20,,0.01,1,France,One month ago,B.1.36,,Europe,20A,ON282283,,France,202030,Homo sapiens,Levasseur et al H,,,,
PAK/JRCGR_SCV-67/2020,11/22/20,,0.2,4,Pakistan,Older,B.1.36.31,,Asia,20A,MW960289,,Sindh,202047,Homo sapiens,Irfan et al B,,,,
IRN/4058/2020,9/26/20,,0.04,2,Iran,Older,B.1.36.8,,Asia,20A,MZ314348,,Iran,202039,Homo sapiens,Zeinali et al B,,,,
IRN/3533/2020,10/11/20,,0.04,3,Iran,Older,B.1.36.7,,Asia,20A,MZ314345,,Iran,202041,Homo sapiens,Khosravi et al,,,,
BGD/NGRI-R3-O1/2020,8/12/20,,0.04,2,Bangladesh,Older,B.1.36.8,,Asia,20A,OM967318,,Bangladesh,202033,Homo sapiens,Hossain et al A,,,,
IND/GBRC34/2020,4/30/20,,0.02,2,India,Older,B.1.36.8,,Asia,20A,MT467256,,Gujarat,202018,Homo sapiens,Gandhi et al,,,,
IND/GBRC131/2020,5/25/20,,0.01,1,India,Older,B.1.36.8,,Asia,20A,MT560656,,Gujarat,202022,Homo sapiens,Vaghela et al,,,,
IND/GBRC331/2020,7/28/20,,0.02,2,India,Older,B.1.36.8,,Asia,20A,MT940460,,Gujarat,202031,Homo sapiens,Patel et al A,,Gujarat Biotechnology Research Centre,Sardar Vallabhbhai Patel Institute of Medical Sciences & Research,
NZL/20CV0063/2020,6/20/20,,0.06,1,New Zealand,Older,B.1.36,,Oceania,20A,OK426941,,Auckland,202025,Homo sapiens,Ren et al AF,,Institute of Environmental Science and Research,LabTests,
NZL/20CV0065/2020,6/20/20,,0.07,1,New Zealand,Older,B.1.36,,Oceania,20A,OK426893,,Auckland,202025,Homo sapiens,Ren et al AG,,Institute of Environmental Science and Research,LabTests,
NZL/20CV0224/2020,8/31/20,,0.09,2,New Zealand,Older,B.1.36.18,,Oceania,20A,OK426701,,Canterbury,202036,Homo sapiens,Ren et al AH,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
NZL/20CV0221/2020,8/31/20,,0.09,2,New Zealand,Older,B.1.36.18,,Oceania,20A,OK426722,,Canterbury,202036,Homo sapiens,Ren et al AI,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
NZL/20CV0332/2020,9/9/20,,0.09,2,New Zealand,Older,B.1.36.18,,Oceania,20A,OK427120,,Canterbury,202037,Homo sapiens,Ren et al AJ,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
NZL/20CV0362/2020,9/22/20,,0.09,2,New Zealand,Older,B.1.36.18,,Oceania,20A,OK427026,,Canterbury,202039,Homo sapiens,Ren et al AK,,Institute of Environmental Science and Research,LabPLUS,
HongKong/Case5183/2020,10/12/20,,0.08,1,Hong Kong,Older,B.1.36,,Asia,20A,MW181763,,Hong Kong,202042,Homo sapiens,Siu et al C,,,,
HongKong/HKPU-00090/2020,12/29/20,,0.08,1,Hong Kong,Older,B.1.36.27,,Asia,20A,MZ266439,,Hong Kong,202053,Homo sapiens,Siu et al D,,,,
CHN/RS4_pool/2021,1/17/21,,0.08,1,China,Older,B.1.36.27,,Asia,20A,MZ578003,,China,202102,Homo sapiens,Xu et al,,,,
HongKong/HKPU-00162/2021,4/11/21,,0.08,1,Hong Kong,Older,B.1.36.27,,Asia,20A,MZ266511,,Hong Kong,202114,Homo sapiens,Siu et al E,,,,
OU999010,8/24/20,,0.04,3,Saudi Arabia,Older,B.1.36.10,,Asia,20A,OU999010,,Madinah,202035,Homo sapiens,Naeem et al E,,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology (KAUST),
PAK/JRCGR-KHI35/2020,8/11/20,,0.04,2,Pakistan,Older,B.1.36,,Asia,20A,MW447632,,Sindh,202033,Homo sapiens,Shakeel et al B,,,,
NZL/20CV0223/2020,8/31/20,,0.07,2,New Zealand,Older,B.1.36,,Oceania,20A,OK427189,,Canterbury,202036,Homo sapiens,Ren et al AL,,Institute of Environmental Science and Research,Canterbury Health Laboratories,
IND/GBRC557b/2021,1/12/21,,0.06,3,India,Older,B.1.36,,Asia,20A,MZ292150,,India,202102,Homo sapiens,Soni et al,,,,
TUN/TUN_ADAGE_4681/2020,7/8/20,,0.01,1,Tunisia,Older,B.1.36,,Africa,20A,MT955173,,Tunisia,202028,Homo sapiens,Souissi et al C,,,,
NZL/20CV0524/2020,11/6/20,,0.04,2,New Zealand,Older,B.1.36,,Oceania,20A,OK426548,,Auckland,202045,Homo sapiens,Ren et al AM,,Institute of Environmental Science and Research,LabTests,
NZL/20CV0527/2020,11/9/20,,0.04,2,New Zealand,Older,B.1.36,,Oceania,20A,OK426860,,Wellington,202046,Homo sapiens,Ren et al AN,,Institute of Environmental Science and Research,Wellington SCL (WN),
NZL/20CV0563/2020,11/19/20,,0.04,2,New Zealand,Older,B.1.36,,Oceania,20A,OK426474,,Wellington,202047,Homo sapiens,Ren et al AO,,Institute of Environmental Science and Research,Wellington SCL (WN),
NZL/20CV0556/2020,11/12/20,,0.04,2,New Zealand,Older,B.1.36,,Oceania,20A,OK426592,,Capital And Coast,202046,Homo sapiens,Ren et al AP,,Institute of Environmental Science and Research,Wellington SCL (WN),
OV082456,6/24/20,,0.08,1,Saudi Arabia,Older,B.1.36,,Asia,20A,OV082456,,Jeddah,202026,Homo sapiens,Naeem et al F,,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology (KAUST),
PAK/JRCGR_SCV-53_IBGE-05/2020,12/11/20,,0.03,2,Pakistan,Older,B.1.36,,Asia,20A,MW960277,,Islamabad Capital Territory,202050,Homo sapiens,Irfan et al C,,,,
BGD/NGRI-R3-17/2020,10/27/20,,0.02,1,Bangladesh,Older,B.1.36.16,,Asia,20A,OM967309,,Bangladesh,202044,Homo sapiens,Hossain et al B,,,,
MYS/M_N22549/2020,11/20/20,,0.04,1,Malaysia,Older,B.1.36.16,,Asia,20A,OM062557,,Malaysia,202047,Homo sapiens,Chan et al H,,,,
